% Model,HUR_model_weather_Jyvaskyla.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:31"
% Table,Table 4 - Line Average 3 (ht.alphaTdxx)
% Time (h),"Thermal diffusivity, xx component (m^2/s)"
895,9.926470588235297E-7
896,9.926470588235297E-7
897,9.926470588235297E-7
898,9.926470588235297E-7
899,9.926470588235297E-7
900,9.926470588235297E-7
901,9.926470588235297E-7
902,9.926470588235297E-7
903,9.926470588235297E-7
904,9.926470588235297E-7
905,9.926470588235297E-7
906,9.926470588235297E-7
907,9.926470588235297E-7
908,9.926470588235297E-7
909,9.926470588235297E-7
910,9.926470588235297E-7
911,9.926470588235297E-7
912,9.926470588235297E-7
913,9.926470588235297E-7
914,9.926470588235297E-7
915,9.926470588235297E-7
916,9.926470588235297E-7
917,9.926470588235297E-7
918,9.926470588235297E-7
919,9.926470588235297E-7
920,9.926470588235297E-7
921,9.926470588235297E-7
922,9.926470588235297E-7
923,9.926470588235297E-7
924,9.926470588235297E-7
925,9.926470588235297E-7
926,9.926470588235297E-7
927,9.926470588235297E-7
928,9.926470588235297E-7
929,9.926470588235297E-7
930,9.926470588235297E-7
931,9.926470588235297E-7
932,9.926470588235297E-7
933,9.926470588235297E-7
934,9.926470588235297E-7
935,9.926470588235297E-7
936,9.926470588235297E-7
937,9.926470588235297E-7
938,9.926470588235297E-7
939,9.926470588235297E-7
940,9.926470588235297E-7
941,9.926470588235297E-7
942,9.926470588235297E-7
943,9.926470588235297E-7
944,9.926470588235297E-7
945,9.926470588235297E-7
946,9.926470588235297E-7
947,9.926470588235297E-7
948,9.926470588235297E-7
949,9.926470588235297E-7
950,9.926470588235297E-7
951,9.926470588235297E-7
952,9.926470588235297E-7
953,9.926470588235297E-7
954,9.926470588235297E-7
955,9.926470588235297E-7
956,9.926470588235297E-7
957,9.926470588235297E-7
958,9.926470588235297E-7
959,9.926470588235297E-7
960,9.926470588235297E-7
961,9.926470588235297E-7
962,9.926470588235297E-7
963,9.926470588235297E-7
964,9.926470588235297E-7
965,9.926470588235297E-7
966,9.926470588235297E-7
967,9.926470588235297E-7
968,9.926470588235297E-7
969,9.926470588235297E-7
970,9.926470588235297E-7
971,9.926470588235297E-7
972,9.926470588235297E-7
973,9.926470588235297E-7
974,9.926470588235297E-7
975,9.926470588235297E-7
976,9.926470588235297E-7
977,9.926470588235297E-7
978,9.926470588235297E-7
979,9.926470588235297E-7
980,9.926470588235297E-7
981,9.926470588235297E-7
982,9.926470588235297E-7
983,9.926470588235297E-7
984,9.926470588235297E-7
985,9.926470588235297E-7
986,9.926470588235297E-7
987,9.926470588235297E-7
988,9.926470588235297E-7
989,9.926470588235297E-7
990,9.926470588235297E-7
991,9.926470588235297E-7
992,9.926470588235297E-7
993,9.926470588235297E-7
994,9.926470588235297E-7
995,9.926470588235297E-7
996,9.926470588235297E-7
997,9.926470588235297E-7
998,9.926470588235297E-7
999,9.926470588235297E-7
1000,9.926470588235297E-7
1001,9.926470588235297E-7
1002,9.926470588235297E-7
1003,9.926470588235297E-7
1004,9.926470588235297E-7
1005,9.926470588235297E-7
1006,9.926470588235297E-7
1007,9.926470588235297E-7
1008,9.926470588235297E-7
1009,9.926470588235297E-7
1010,9.926470588235297E-7
1011,9.926470588235297E-7
1012,9.926470588235297E-7
1013,9.926470588235297E-7
1014,9.926470588235297E-7
1015,9.926470588235297E-7
1016,9.926470588235297E-7
1017,9.926470588235297E-7
1018,9.926470588235297E-7
1019,9.926470588235297E-7
1020,9.926470588235297E-7
1021,9.926470588235297E-7
1022,9.926470588235297E-7
1023,9.926470588235297E-7
1024,9.926470588235297E-7
1025,9.926470588235297E-7
1026,9.926470588235297E-7
